item,itemLabel
http://www.wikidata.org/entity/Q271608,Lisa Niemi
http://www.wikidata.org/entity/Q271824,Edgar Wallace
http://www.wikidata.org/entity/Q271814,Giovanni Verga
http://www.wikidata.org/entity/Q272927,Kristen Schaal
http://www.wikidata.org/entity/Q273118,Virginia Grey
http://www.wikidata.org/entity/Q273712,Caroline Thompson
http://www.wikidata.org/entity/Q273962,Ildikó Enyedi
http://www.wikidata.org/entity/Q274667,Eliette Abécassis
http://www.wikidata.org/entity/Q274914,Julia Loktev
http://www.wikidata.org/entity/Q275597,Germaine Dulac
http://www.wikidata.org/entity/Q276218,Natashia Williams
http://www.wikidata.org/entity/Q278543,A. B. Guthrie Jr.
http://www.wikidata.org/entity/Q278440,Marcello Cesena
http://www.wikidata.org/entity/Q279305,Anthony Horowitz
http://www.wikidata.org/entity/Q280490,Albert S. Ruddy
http://www.wikidata.org/entity/Q281411,André Franquin
http://www.wikidata.org/entity/Q282951,Stefania Casini
http://www.wikidata.org/entity/Q286366,Émile Proulx-Cloutier
http://www.wikidata.org/entity/Q287117,Fernando Colomo
http://www.wikidata.org/entity/Q288009,Éric Caravaca
http://www.wikidata.org/entity/Q288916,Jack Ketchum
http://www.wikidata.org/entity/Q289524,Étienne Chicot
http://www.wikidata.org/entity/Q290707,Gaël Leforestier
http://www.wikidata.org/entity/Q291205,Anne Fontaine
http://www.wikidata.org/entity/Q291115,Stephen Carpenter
http://www.wikidata.org/entity/Q291392,Michèle Laroque
http://www.wikidata.org/entity/Q294372,Adam Brody
http://www.wikidata.org/entity/Q294927,Jerry Lewis
http://www.wikidata.org/entity/Q295912,Tom Hooper
http://www.wikidata.org/entity/Q296809,Ferenc Molnár
http://www.wikidata.org/entity/Q296883,Joe Pantoliano
http://www.wikidata.org/entity/Q297348,Marshall Allman
http://www.wikidata.org/entity/Q297748,Faïza Guène
http://www.wikidata.org/entity/Q297881,Louise Lévêque de Vilmorin
http://www.wikidata.org/entity/Q298682,Djimon Hounsou
http://www.wikidata.org/entity/Q302418,Aaron Norris
http://www.wikidata.org/entity/Q302573,Raymond Thompson
http://www.wikidata.org/entity/Q302675,Guillermo Cabrera Infante
http://www.wikidata.org/entity/Q303891,Lewis Gilbert
http://www.wikidata.org/entity/Q304588,Fay Kanin
http://www.wikidata.org/entity/Q305362,Carl Macek
http://www.wikidata.org/entity/Q305321,Polly Shannon
http://www.wikidata.org/entity/Q309555,Michael Cera
http://www.wikidata.org/entity/Q309900,Peter Gallagher
http://www.wikidata.org/entity/Q310184,George Balanchine
http://www.wikidata.org/entity/Q311615,Thomas Haden Church
http://www.wikidata.org/entity/Q311962,Mike Epps
http://www.wikidata.org/entity/Q312656,Lon Chaney
http://www.wikidata.org/entity/Q312944,Béla Tarr
http://www.wikidata.org/entity/Q313039,John Krasinski
http://www.wikidata.org/entity/Q313256,Bob Fosse
http://www.wikidata.org/entity/Q313281,Michel Legrand
http://www.wikidata.org/entity/Q313341,Ray Harryhausen
http://www.wikidata.org/entity/Q313509,Bernard-Henri Lévy
http://www.wikidata.org/entity/Q313514,Joe Flanigan
http://www.wikidata.org/entity/Q313593,Michael Ondaatje
http://www.wikidata.org/entity/Q314200,Mark Dacascos
http://www.wikidata.org/entity/Q314502,Jason Reitman
http://www.wikidata.org/entity/Q314673,Scott Caan
http://www.wikidata.org/entity/Q314843,Louis Begley
http://www.wikidata.org/entity/Q315243,Pierre Richard
http://www.wikidata.org/entity/Q315325,Russ Meyer
http://www.wikidata.org/entity/Q315577,Hideo Kojima
http://www.wikidata.org/entity/Q316678,Dan Mintz
http://www.wikidata.org/entity/Q316802,James Clavell
http://www.wikidata.org/entity/Q316709,Steve Coogan
http://www.wikidata.org/entity/Q317574,Mack Sennett
http://www.wikidata.org/entity/Q318099,Harlan Coben
http://www.wikidata.org/entity/Q318188,Peter Shaffer
http://www.wikidata.org/entity/Q318491,Abel Salazar
http://www.wikidata.org/entity/Q318736,Fernando Fernán Gómez
http://www.wikidata.org/entity/Q318750,Stephen Hillenburg
http://www.wikidata.org/entity/Q318991,Gad Elmaleh
http://www.wikidata.org/entity/Q320025,Brian Grazer
http://www.wikidata.org/entity/Q320178,John Roberts
http://www.wikidata.org/entity/Q320448,Philippe Blasband
http://www.wikidata.org/entity/Q321604,Jindřich Polák
